NetworkName,0VOEM1,0VOEM2,0VOEM3,0VOEM4,0VOEM5,0VOEM6,0VOEM7,0VOEM8,0VOEM9,0VOEM10,0VOEM11,0VOEM12,1VOEM1,1VOEM2,1VOEM3,1VOEM4,1VOEM5,1VOEM6,1VOEM7,1VOEM8,1VOEM9,1VOEM10,1VOEM11,1VOEM12,2VOEM1,2VOEM2,2VOEM3,2VOEM4,2VOEM5,2VOEM6,2VOEM7,2VOEM8,2VOEM9,2VOEM10,2VOEM11,2VOEM12,3VOEM1,3VOEM2,3VOEM3,3VOEM4,3VOEM5,3VOEM6,3VOEM7,3VOEM8,3VOEM9,3VOEM10,3VOEM11,3VOEM12
1,7,75,9,17,51,11,4,21,4,3,22,13,7,0,14,8,72,0,0,0,0,0,32,3,3,35,12,10,66,13,3,25,11,4,36,6,5,0,5,4,84,0,0,0,0,0,49,2
2,6,48,12,18,54,12,6,32,3,3,39,13,12,0,13,9,72,0,0,0,0,0,52,5,3,25,11,10,70,14,4,13,8,4,52,9,4,0,6,12,90,0,0,0,0,0,64,3
3,5,60,14,18,57,13,8,25,3,3,23,12,12,0,18,9,76,0,0,0,0,0,41,4,2,38,14,11,74,14,3,19,9,4,47,8,6,0,4,14,93,0,0,0,0,0,61,3
4,4,52,8,21,63,14,7,26,3,4,25,17,15,0,15,10,83,0,0,0,0,0,36,4,3,35,8,10,75,15,2,15,15,4,40,7,8,0,5,10,92,0,0,0,0,0,48,2
5,6,25,16,23,68,15,6,21,4,3,40,15,7,0,14,11,99,0,0,0,0,0,56,6,4,36,12,13,95,19,3,25,11,4,56,10,5,0,5,12,122,0,0,0,0,0,68,3
6,7,74,10,21,65,15,8,32,3,3,44,13,15,0,22,10,86,0,0,0,0,0,56,6,3,22,13,11,81,16,2,28,12,5,62,11,8,0,6,11,100,0,0,0,0,0,74,3
7,3,63,18,19,57,13,9,29,4,2,45,12,11,0,18,9,78,0,0,0,0,0,65,7,2,29,11,11,77,15,3,25,8,5,66,12,5,0,7,8,98,0,0,0,0,0,76,4
8,6,46,10,18,56,13,8,17,5,2,29,14,18,0,17,8,69,0,0,0,0,0,43,4,2,29,13,9,63,12,2,23,12,3,48,9,4,0,5,8,80,0,0,0,0,0,60,3
9,7,47,13,18,55,12,7,23,3,2,22,10,11,0,11,9,74,0,0,0,0,0,38,4,3,34,7,10,70,14,2,39,10,3,39,7,6,0,4,9,88,0,0,0,0,0,46,2
10,8,48,13,13,38,8,6,28,5,4,37,15,10,0,11,6,49,0,0,0,0,0,51,5,4,23,11,7,45,9,3,25,6,4,49,9,6,0,5,7,55,0,0,0,0,0,60,3
11,6,52,15,12,34,7,4,35,4,3,27,12,9,0,14,5,44,0,0,0,0,0,42,4,3,36,12,6,39,7,3,26,7,4,44,8,7,0,5,12,45,0,0,0,0,0,57,2
12,8,41,8,13,40,9,6,27,3,4,29,17,6,0,12,7,56,0,0,0,0,0,39,4,3,17,13,8,48,9,3,22,12,4,40,7,8,0,8,11,57,0,0,0,0,0,54,2
